Name,SOM Market Region,"LEED ND 
PROJECT TOTAL SCORE"
KIC,ASEAN,0
Shanghai Taipingqiao,ASEAN,35
Foshan Lingnan Tiandi,ASEAN,0
Treasure Island,ASEAN,0
Parkmerced,Australia,0
Berryessa BART,Central Asia,32
Chengdu Aerotropolis,China,65
Fuzhou Waterfront New City,China,69
SHOT Line 14,China,73
Tongren,China,38
Nanjng Jiangbei,China,30
Baoshan Nanda,China,13
Shenzhen Futian,China,52
Concord Base Reuse Project,China,50
Point Molate Conceptual Master Plan,China,0
Compton Artesia Station Specific Plan,China,0
Cedar Creek Waterway,China,45
Riverdale Park,China,0
Capitol Crossing,China,0
Downtown Colorado Springs,China,0
Raleigh Civic Campus,China,0
Seat Pleasant Smart City MP,China,0
Charlotte 7th and Tryon,China,0
Armed Forces Retirement Home,China,0
Ignite Nashville,China,0
Milano Sesto,Europe,55
Neom,Europe,46
Alaro City,Europe,56
Tushino,Europe,68
Jeddah Township,MENA,26
NDGM,MENA,1
King Salman Park,MENA,25
Tatu City CBD,MENA,21
Cook Cove,MENA,19
Bonifacio East,MENA,35
KHI,MENA,25
Bandar Malaysia,US,87
Thu Duc,US,55
OCT North,US,0
Nanchang VR,US,0
TianAn,US,0
,US,0
,US,0
,US,0
,US,49
,US,44
,US,53
,US,0
,US,0
,US,0
,US,0
,US,17
,US,0
,US,0
,US,0
,US,0
,US,64
,US,61
,US,53
,US,61
,US,60
,US,0
,China,0
,China,0
